{'trials': 20, 'sleeptime': 0.9, 'target_freq': 125, 'theoretical_target_freq': 137.12724434345407}
freq,A,A_std,phi,phi_std
126.12735526271429,1.970065326595192e-05,3.153776224415687e-07,0.029873087524039034,0.402249629682471
126.16793921640996,1.9311203177965428e-05,3.3294570273079403e-07,-0.3694492139915718,0.3811908167304326
126.20853622878992,1.8520349413332465e-05,3.0658666051182607e-07,-0.33668385874076784,0.4003634088713529
126.24914630405583,1.7285611724318903e-05,3.06981458404976e-07,0.348823732098073,0.41118377073988255
126.28976944641103,1.6293682940610152e-05,3.013425153268103e-07,0.30446409166866645,0.3959854823791803
126.33040566006011,1.5722038389782248e-05,2.532917162298373e-07,-0.23133960574647427,0.3943299572598767
126.37105494920904,1.467607100377228e-05,2.759474490038401e-07,-0.1760313124950698,0.39874762010365083
126.4117173180651,1.405348967402015e-05,2.627787074906435e-07,-0.299530205570114,0.388782017690479
126.45239277083695,1.3764724784394632e-05,1.9063730089783247e-07,-0.45646652531778853,0.3978931082861737
126.4930813117346,1.3470625469406104e-05,2.758848911219656e-07,-0.14118911254681393,0.3940440950047283
126.53378294496939,1.277711414908564e-05,2.6335375649832103e-07,-0.11402228469220341,0.3965607555885265
126.57449767475407,1.2818425478106942e-05,2.1908540140990717e-07,-0.7974130422757069,0.40754181169731274
126.61522550530269,1.1956635372182946e-05,2.4883434014053887e-07,-0.2584628192871037,0.42297502946987414
126.65596644083067,1.12046215973841e-05,2.3265638390486706e-07,-0.044536682933638626,0.4093910434258103
126.69672048555482,1.066904728520959e-05,2.310092017606504e-07,0.045439967389680445,0.39634018675584937
126.7374876436934,1.036074604564502e-05,2.180815647471281e-07,-0.36879354727986474,0.37898580899173057
126.77826791946565,1.0133383747060627e-05,2.278331445167225e-07,0.37496539651638183,0.4009994080556364
126.81906131709255,9.819053021033184e-06,2.3432859088671914e-07,-0.17269077979847253,0.39576487115444253
126.85986784079631,1.0078825786556823e-05,1.8420718827412847e-07,-0.4015602722233771,0.37419631988088603
126.90068749480052,8.845235524366998e-06,1.9666704330874165e-07,-0.13152561463962842,0.393235067929445
126.9415202833301,9.166681178825196e-06,2.191268086944105e-07,-0.08026409448829315,0.3881900365439658
126.98236621061135,8.909943548428248e-06,2.274484517227824e-07,0.5179712755139335,0.39408885999794513
127.02322528087191,8.619514338157117e-06,2.557559944853591e-07,0.16868021245375955,0.40602474238412006
127.0640974983408,8.519231883929904e-06,1.446008485162086e-07,-0.6965150842132042,0.37797215606408574
127.1049828672484,8.344435870711618e-06,2.0379401359967018e-07,0.04096800112815598,0.38716164845001144
127.14588139182642,8.146201487758596e-06,2.0453011035537248e-07,-0.063095842330499,0.4119352271067533
127.18679307630798,7.84393208352828e-06,2.0136775672829398e-07,-0.17017142962466908,0.3676405185770847
127.22771792492765,8.030796653369394e-06,2.0903709147313424e-07,0.7530615760924182,0.3609020128489147
127.268655941921,7.359519257624097e-06,1.910466299964577e-07,0.026046790302836343,0.36690120914857666
127.30960713152534,7.274416234722256e-06,1.9419622087070477e-07,-0.023090846893013488,0.3860841030611168
127.35057149797922,7.004307116075168e-06,2.374270228616332e-07,-0.12478202820587128,0.3868892366153512
127.39154904552254,6.641161023575856e-06,1.8597449542032635e-07,-0.1707625279493621,0.39427040859200796
127.43253977839657,6.229490107596342e-06,1.8916963278487739e-07,-0.05908089894229725,0.39212210153631466
127.47354370084398,6.515366876211839e-06,1.5566301236350374e-07,-0.5267472863065158,0.38006939720482347
127.51456081710874,5.961777191138151e-06,1.798211226781918e-07,-0.23238307996159252,0.4072681149348451
127.55559113143624,5.843006403124422e-06,1.6445381920876835e-07,-0.2745537790138677,0.39193494008651575
127.59663464807322,5.553795275504842e-06,1.5167531733609354e-07,-0.20465536479979426,0.39203672985222876
127.63769137126776,5.270127177764375e-06,1.6261680881589615e-07,-0.40338920109238624,0.4134782808360366
127.67876130526935,5.446032197304255e-06,1.5208686759963598e-07,-0.2764455541476597,0.4146356055711482
127.71984445432894,5.001782713623644e-06,1.520558590939046e-07,0.21187890894230127,0.44211504491194953
127.76094082269847,4.784141431932486e-06,1.5169719167917803e-07,0.11090826683922364,0.4202577555440691
127.80205041463168,4.693985154400864e-06,1.715558757758389e-07,0.22054467233852595,0.3853094879749079
127.84317323438347,4.541982219301174e-06,1.4661130917360692e-07,-0.39303669164002325,0.38987682262410905
127.88430928621017,4.303714922890451e-06,1.40785805834615e-07,-0.1776963342306841,0.3890992307408864
127.92545857436946,4.158358739151756e-06,1.514599941437027e-07,-0.032480079671536335,0.3933461327418744
127.96662110312039,3.954407008317826e-06,1.5112746483794147e-07,0.42608217733016646,0.40265496993013866
128.00779687672338,4.485551994764103e-06,1.1783426969005526e-07,-0.23668491300903877,0.36962228941138975
128.0489858994402,4.165395733393144e-06,1.4262772946208423e-07,-0.35858654547083657,0.3851401454900787
128.09018817553405,3.915263375780701e-06,1.2511748444368362e-07,-0.28244909667673285,0.4118411496061937
128.13140370926945,3.776262029409011e-06,1.3633049644957349e-07,-0.18337453722826372,0.3656861519337826
128.1726325049123,3.5939174920624017e-06,1.3937486506682267e-07,-0.3937108009022032,0.38500523613803567
128.21387456672986,3.3381784600139712e-06,1.1170599113269546e-07,0.23255979270564203,0.5057807700437532
128.25512989899093,3.428961495412256e-06,1.230036712826389e-07,0.0306951938565743,0.3987705195336148
128.2963985059653,3.409286268132173e-06,1.1734396915167918e-07,-0.05893974525560697,0.41036327092229147
128.33768039192447,3.255704405021928e-06,1.5388938025751073e-07,0.2272705430143589,0.4023593076751485
128.37897556114123,3.23865556689946e-06,1.1294027602922121e-07,-0.5472155894456232,0.38787178978863696
128.4202840178897,3.222570634972947e-06,1.0768321656833496e-07,0.04825870213135053,0.40501606157185344
128.46160576644547,3.1470060559520936e-06,1.2046324829607643e-07,-0.6393078305914224,0.3955479268157877
128.50294081108535,3.0753379400216256e-06,1.3491600250962555e-07,-0.27765881344948723,0.4007066720048738
128.5442891560877,3.580018392580556e-06,3.48878981775475e-08,-0.7733104292605323,0.35490959640014175
128.58565080573212,3.03739323226783e-06,1.202065623361693e-07,-0.20427880273580223,0.40800432174667456
128.62702576429965,2.883400479968346e-06,1.0612532028651524e-07,-0.2842062543782384,0.39117868253124394
128.6684140360727,2.7086669090926605e-06,1.247995544035341e-07,-0.37277416630760357,0.37484013468578903
128.70981562533507,2.6506053217040875e-06,1.2789965374346664e-07,-0.4780539453065681,0.39852588399069633
128.75123053637205,2.669805336570893e-06,1.099464562452062e-07,-0.203021996303184,0.40398485910215354
128.7926587734699,2.6541580661187325e-06,1.0501665583536602e-07,-1.2573773763944176,0.2348073994363587
128.8341003409167,2.5293116671006327e-06,1.0804107799087743e-07,-0.08248685777949852,0.38290568887531373
128.8755552430017,2.4790150973901602e-06,1.0409950694207298e-07,-0.1701501479631283,0.41802873632689214
128.91702348401566,2.2683658673884376e-06,1.0957675202046738e-07,0.4519022816249116,0.42481355761738626
128.9585050682506,2.298219947492221e-06,1.0393749875498559e-07,-0.3286899064968881,0.4154271062937364
129.0,2.262668411812977e-06,1.0051906739115238e-07,-0.5825413511689207,0.38826118092298983
