{'trials': 20, 'sleeptime': 0.9, 'target_freq': 4812.478834467755, 'theoretical_target_freq': 4812.478834467755}
freq,A,A_std,phi,phi_std
4812.719707460131,1.6105169302653228e-07,1.530906949048115e-08,0.15863528748313957,0.07032835382231085
4812.820216197175,1.6708409586925913e-07,1.2909114817740612e-08,0.25464476787485274,0.060992124160959255
4812.920727033243,1.5389118312309394e-07,1.2879254165079514e-08,0.10378288492270116,0.07294914185830358
4813.0212399683705,1.4933277531660525e-07,1.4490897515751523e-08,0.10910252765764636,0.07038058464554202
4813.121755002614,1.455042174419473e-07,1.0496482045443847e-08,0.11365266291519519,0.06774149758643497
4813.22227213601,1.6916885282139513e-07,1.4801856699571727e-08,0.20134802011806424,0.05757614665703994
4813.322791368605,1.5735696590050897e-07,1.1966171657188529e-08,0.22040902430227255,0.06666688633991699
4813.423312700436,1.5825766816712315e-07,1.189434837707542e-08,0.14876550949064554,0.07794362861349347
4813.523836131559,1.6203989498301024e-07,1.223329970591542e-08,0.16091553080766866,0.05485700013191746
4813.6243616620095,1.6344941626295306e-07,1.4202620045787131e-08,0.09668803219249293,0.05793157326376754
4813.724889291833,1.586616232488131e-07,1.881022236451722e-08,0.1646018254313284,0.0806208720049296
4813.825419021074,1.4275976104714132e-07,1.273705347747881e-08,0.3170970564947654,0.09053437124264797
4813.925950849771,1.45220713644226e-07,1.3758532495621964e-08,0.17404426340219187,0.054385889110377394
4814.026484777977,1.432680046145907e-07,1.4746658695707338e-08,0.1669494106719837,0.06814714008808537
4814.127020805731,1.6199580151292865e-07,1.4802635394050308e-08,0.10105429758701875,0.04833096103766757
4814.227558933078,1.5075469347392772e-07,1.5038321707527887e-08,0.23233949042768254,0.06064158408307983
4814.328099160061,1.3638125622604333e-07,1.0062685899416497e-08,0.1472098546869956,0.08820883653745563
4814.428641486719,1.4751430376165144e-07,1.1156904108477458e-08,0.32241669922971067,0.07049738427609785
4814.529185913107,1.420209946343959e-07,1.2409748351713017e-08,0.21243706856919417,0.07390241684971399
4814.629732439261,1.5405555194191472e-07,1.1218036628287524e-08,0.0773205458811089,0.07679809557592564
4814.730281065227,1.3182986894741295e-07,1.1717264299545176e-08,0.13389725222944934,0.07251504992289688
4814.830831791043,1.335147658485481e-07,1.5690454582973936e-08,0.15811960155586008,0.09477825399620651
4814.931384616764,1.3904883420648657e-07,1.0701452485099875e-08,0.04410552156507426,0.08561603727460114
4815.031939542428,1.5584683860171484e-07,1.291658410310372e-08,0.15914032081240564,0.08327969734507072
4815.132496568079,1.4848530435845276e-07,8.52089898302297e-09,0.3034123843636151,0.06419538059694149
4815.23305569376,1.1525287817053566e-07,7.3884168581897956e-09,0.18647976285686804,0.0642751717650017
4815.333616919512,1.4694900392631352e-07,1.4630431034430054e-08,0.28732485664378304,0.07265075939236743
